uttid,gt_text,asr_hypothesis,wer
libri_00019,upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones,upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones,0.0
libri_00020,bragelonne watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manicamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit,bragelonne watched for some time the conduct of the two lovers listen to the loud and uncivil slumbers of manicamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit,0.02631578947368421
libri_00021,goliath makes another discovery,goliath makes another discovery,0.0
libri_00022,they were certainly no nearer the solution of their problem,there were certainly no near the solution of their problem,0.2
libri_00023,the poor little things cried cynthia think of them having been turned to the wall all these years,the poor little things cried cynthia think of them having been turned to the wall all these years,0.0
libri_00024,now what was the sense of it two innocent babies like that,now what is the sense of it two innocent babies like that,0.08333333333333333
libri_00025,but joyce had not been listening all at once she put down her candle on the table and faced her companion,but joyce had not been listening all at once she put down her candle on the table and faced her companion,0.0
libri_00026,the twin brother did something she didn't like and she turned his picture to the wall,the twin brother did something she didn't like and she turned his picture to the wall,0.0
libri_00027,hers happened to be in the same frame too but she evidently didn't care about that,hers happened to be on the same frame too but she evidently didn't care about it,0.125
libri_00028,now what have you to say cynthia sprague,now what have you to say cynthia spragg,0.125
libri_00029,i thought we were stumped again when i first saw that picture but it's been of some use after all,i thought we were stumped again when i first saw that picture but it's been of some use after all,0.0
libri_00030,do you suppose the miniature was a copy of the same thing,do you suppose the miniature was a copy of the same thing,0.0
libri_00031,what in the world is that queried joyce,what in the world is it queried joyce,0.125
libri_00032,they worry me terribly and besides i'd like to see what this lovely furniture looks like without such quantities of dust all over it good scheme cyn,they worry me terribly and besides i'd like to see what this lovely furniture looks like without such quantities of dust all over it good scheme sen,0.037037037037037035
libri_00033,we'll come in here this afternoon with old clothes on and have a regular house cleaning,we'll come in here this afternoon with old clothes on and have a regular house cleaning,0.0
libri_00034,it can't hurt anything i'm sure for we won't disturb things at all,it can't hurt anything i'm sure for we won't disturb things at all,0.0
libri_00035,this thought however did not enter the heads of the enthusiastic pair,this thought however did not enter the heads of the enthusiastic pair,0.0
libri_00036,smuggling the house cleaning paraphernalia into the cellar window unobserved that afternoon proved no easy task for cynthia had added a whisk broom and dust pan to the outfit,smuggling the house cleaning paraphernalia into the cellar window unobserved that afternoon proved no easy task for cynthia had added a whisk broom and dust pan to the outfit,0.0
libri_00037,the lure proved too much for him and he came sporting after it as friskily as a young kitten much to cynthia's delight when she caught sight of him,the lure proved too much for him and he came sporting after it as friskily as a young kitten much to cynthia's delight when she caught sight of him,0.0
libri_00038,oh let him come along she urged i do love to see him about that old house,oh let him come along she urged i do love to see him about that old house,0.0
libri_00039,he makes it sort of cozier,he makes it sort of cosier,0.16666666666666666
libri_00040,now let's dust the furniture and pictures,now let's dust the furniture in pictures,0.14285714285714285
libri_00041,yet little as it was it had already made a vast difference in the aspect of the room,yet little as it was it had already made a vast difference in the aspect of the room,0.0
libri_00042,surface dust at least had been removed and the fine old furniture gave a hint of its real elegance and polish,surfaced us at least had been removed and the fine old furniture gave a hint of its real elegance and polish,0.09523809523809523
libri_00043,then she suddenly remarked,then she suddenly remarked,0.0
libri_00044,and my pocket money is getting low again and you haven't any left as usual,and my pocket money is getting low again and you haven't any left as usual,0.0
libri_00045,they say illumination by candle light is the prettiest in the world,they say illumination by candle light is the prettiest in the world,0.0
libri_00046,why it's goliath as usual they both cried peering in,why it's goliath as usual they both cried peering in,0.0
libri_00047,isn't he the greatest for getting into odd corners,isn't he the greatest for getting into odd corners,0.0
libri_00048,forgetting all their weariness they seized their candles and scurried through the house finding an occasional paper tucked away in some odd corner,forgetting all their weariness they seized their candles and scurried through the house finding on occasional paper tucked away in some odd corner,0.043478260869565216
libri_00049,well i'm convinced that the boarded up house mystery happened not earlier than april sixteenth eighteen sixty one and probably not much later,well i'm convinced that the boarded up house mystery happened not earlier than april sixteenth eighteen sixty one and probably not much later,0.0
libri_00050,no words were spoken no language was uttered save that of wailing and hissing and that somehow was indistinct as if it existed in fancy and not in reality,no words were spoken no language was uttered save that of wailing and hissing and that somehow was indistinct as if it existed in fancy and not in reality,0.0
libri_00051,i heard a noise behind i turned and saw kaffar his black eyes shining while in his hand he held a gleaming knife he lifted it above his head as if to strike but i had the strength of ten men and i hurled him from me,i heard a noise behind i turned and saw kaffir his black eyes shining while in his hand he held a gleaming knife he lifted it above his head as if to strike but i had the strength of ten men and i hurled him from me,0.02127659574468085
libri_00052,onward said a distant voice,onward said a distant voice,0.0
libri_00053,no sound broke the stillness of the night,no sound broke the stillness of the night,0.0
libri_00054,the story of its evil influence came back to me and in my bewildered condition i wondered whether there was not some truth in what had been said,the story of its evil influence came back to me and in my bewildered condition i wondered whether there was not some truth in what had been said,0.0
libri_00055,what was that,what was that,0.0
libri_00056,what then a human hand large and shapely appeared distinctly on the surface of the pond,what then a human hand large and shapely appeared distinctly on the surface of the pond,0.0
libri_00057,nothing more not even the wrist to which it might be attached,nothing more not even the risk to which it might be attached,0.08333333333333333
libri_00058,it did not beckon or indeed move at all it was as still as the hand of death,it did not beckon or indeed move at all it was as still as the hand of death,0.0
libri_00059,i awoke to consciousness fighting at first it seemed as if i was fighting with a phantom but gradually my opponent became more real to me it was kaffar,i awoke to consciousness fighting at first it seemed as if i was fighting with a phantom but gradually my opponent became more real to me it was kaffir,0.034482758620689655
libri_00060,a sound of voices a flash of light,a sound of voices a flash of light,0.0
libri_00061,a feeling of freedom and i was awake where,a feeling of freedom and i was awake where,0.0
libri_00062,said another voice which i recognized as voltaire's kaffar,said another voice which i recognized as voltaire's kaffir,0.1111111111111111
libri_00063,i had scarcely known what i had been saying or doing up to this time but as he spoke i looked at my hand,i had scarcely known what i had been saying or doing up to this time but as he spoke i looked at my hand,0.0
libri_00064,in the light of the moon i saw a knife red with blood and my hand too was also discoloured,in the light of the moon i saw a knife red with blood and my hand too was also discoloured,0.0
libri_00065,i do not know i am dazed bewildered,i do not know i am dazed bewildered,0.0
libri_00066,but that is kaffar's knife,but that is kaffir's knife,0.2
libri_00067,i know he had it this very evening,i know he had it this very evening,0.0
libri_00068,i remember saying have we been together,i remembered saying have we been together,0.14285714285714285
libri_00069,voltaire picked up something from the ground and looked at it,old chair picked up something from the ground and looked at it,0.18181818181818182
libri_00070,i say you do know what this means and you must tell us,i say you do know what this means and you must tell us,0.0
libri_00071,a terrible thought flashed into my mind,a terrible thought flashed into my mind,0.0
libri_00072,i had again been acting under the influence of this man's power,i had again been acting under the influence of this man's power,0.0
libri_00073,perchance too kaffar's death might serve him in good stead,perchance too kaffir's death might serve him in good stead,0.1
libri_00074,my tongue refused to articulate my power of speech left me,my tongue refused to articulate my power of speech left me,0.0
libri_00075,my position was too terrible,my position was too terrible,0.0
libri_00076,my overwrought nerves yielded at last,my overwrought nerves yielded at last,0.0
libri_00077,for some time after that i remembered nothing distinctly,for some time after that i remembered nothing distinctly,0.0
libri_00078,notwithstanding the high resolution of hawkeye he fully comprehended all the difficulties and danger he was about to incur,notwithstanding the high resolution of hawkeye he fully comprehended all the difficulties and danger he was about to incur,0.0
libri_00079,in his return to the camp his acute and practised intellects were intently engaged in devising means to counteract a watchfulness and suspicion on the part of his enemies that he knew were in no degree inferior to his own,in his return to the camp his acute and practised intellects were intently engaged in devising means to counteract a watchfulness and suspicion on the part of his enemies that he knew were in no degree inferior to his own,0.0
libri_00080,in other words while he had implicit faith in the ability of balaam's ass to speak he was somewhat skeptical on the subject of a bear's singing and yet he had been assured of the latter on the testimony of his own exquisite organs,in other words while he had implicit faith in the ability of balaam's ass to speak he was somewhat sceptical on the subject of a bear's singing and yet he had been assured of the latter on the testimony of his own exquisite organs,0.022727272727272728
libri_00081,there was something in his air and manner that betrayed to the scout the utter confusion of the state of his mind,there was something in his air and manner that betrayed to the scout the utter confusion of the state of his mind,0.0
libri_00082,the ingenious hawkeye who recalled the hasty manner in which the other had abandoned his post at the bedside of the sick woman was not without his suspicions concerning the subject of so much solemn deliberation,the ingenious hawkeye who recalled the hasty manner in which the other had abandoned his post at the bedside of the sick woman was not without his suspicions concerning the subject of so much solemn deliberation,0.0
libri_00083,the bear shook his shaggy sides and then a well known voice replied,the bear shook his shaggy sides and then a well known voice replied,0.0
libri_00084,can these things be returned david breathing more freely as the truth began to dawn upon him,can these things be returned david breathing more freely as the truth began to dawn upon him,0.0
libri_00085,come come returned hawkeye uncasing his honest countenance the better to assure the wavering confidence of his companion you may see a skin which if it be not as white as one of the gentle ones has no tinge of red to it that the winds of the heaven and the sun have not bestowed now let us to business,come come returned hawkeye uncasing his honest countenance the better to assure the wavering confidence of his companion you may see a skin which if it be not as white as one of the gentle ones has no tinge of red to it that the winds of the heaven and the sun have not bestowed now let us to business,0.0
libri_00086,the young man is in bondage and much i fear his death is decreed,the young man is in bondage and much i fear his death is decreed,0.0
libri_00087,i greatly mourn that one so well disposed should die in his ignorance and i have sought a goodly hymn can you lead me to him,i greatly mourned that one so well disposed should die in his ignorance and i have sought a goodly hymn can you lead me to him,0.038461538461538464
libri_00088,the task will not be difficult returned david hesitating though i greatly fear your presence would rather increase than mitigate his unhappy fortunes,the task will not be difficult returned david hesitating though i greatly fear your presence would rather increase than mitigate his unhappy fortunes,0.0
libri_00089,the lodge in which uncas was confined was in the very center of the village and in a situation perhaps more difficult than any other to approach or leave without observation,the lodge in which uncas was confined was in the very centre of the village and in a situation perhaps more difficult than any other to approach or leave without observation,0.03225806451612903
libri_00090,four or five of the latter only lingered about the door of the prison of uncas wary but close observers of the manner of their captive,four or five of the latter only lingered about the door of the prison of uncas wary but close observers of the manner of their captive,0.0
libri_00091,delivered in a strong tone of assent announced the gratification the savage would receive in witnessing such an exhibition of weakness in an enemy so long hated and so much feared,delivered in a strong tone of assent announced the gratification the savage would receive in witnessing such an exhibition of weakness and an enemy so long hated and so much feared,0.03225806451612903
libri_00092,they drew back a little from the entrance and motioned to the supposed conjurer to enter,they drew back a little from the entrance and motioned to the supposed conjuror to enter,0.0625
libri_00093,but the bear instead of obeying maintained the seat it had taken and growled,but the bear instead of obeying maintained the seat it had taken and growled,0.0
libri_00094,the cunning man is afraid that his breath will blow upon his brothers and take away their courage too continued david improving the hint he received they must stand further off,the cunning man is afraid that his breath will blow upon his brothers and take away their courage too continued david improving the hint he received they must stand further off,0.0
libri_00095,then as if satisfied of their safety the scout left his position and slowly entered the place,then as if satisfied of their safety the scout left his position and slowly entered the place,0.0
libri_00096,it was silent and gloomy being tenanted solely by the captive and lighted by the dying embers of a fire which had been used for the purposed of cookery,it was silent and gloomy being tenanted solely by the captive and lighted by the dying embers of a fire which had been used for the purpose of cookery,0.034482758620689655
libri_00097,uncas occupied a distant corner in a reclining attitude being rigidly bound both hands and feet by strong and painful withes,uncas occupied a distant corner in a reclining attitude being rigidly bound both hands and feet by strong and painful wits,0.047619047619047616
libri_00098,the scout who had left david at the door to ascertain they were not observed thought it prudent to preserve his disguise until assured of their privacy,the scout who had left david at the door to ascertain they were not observed thought it prudent to preserve his disguise until assured of their privacy,0.0
libri_00099,what shall we do with the mingoes at the door they count six and this singer is as good as nothing,what shall we do with the mingos at the door they count six and this singer is as good as nothing,0.047619047619047616
libri_00100,the delawares are children of the tortoise and they outstrip the deer,the delawares are children of the tortoise and they outstrip the deer,0.0
libri_00101,uncas who had already approached the door in readiness to lead the way now recoiled and placed himself once more in the bottom of the lodge,uncas who had already approached the door in readiness to lead the way now recoiled and placed himself once more in the bottom of the lodge,0.0
libri_00102,but hawkeye who was too much occupied with his own thoughts to note the movement continued speaking more to himself than to his companion,but hawkeye who was too much occupied with his own thoughts to note the movement continued speaking more to himself than to his companion,0.0
libri_00103,so uncas you had better take the lead while i will put on the skin again and trust to cunning for want of speed,so uncas you had better take the lead while i will put on the skin again and trust to cunning for want of speed,0.0
libri_00104,well what can't be done by main courage in war must be done by circumvention,well what can't be done by main courage in war must be done by circumvention,0.0
libri_00105,as soon as these dispositions were made the scout turned to david and gave him his parting instructions,as soon as these dispositions were made the scout turned to david and gave him his parting instructions,0.0
libri_00106,my pursuits are peaceful and my temper i humbly trust is greatly given to mercy and love returned david a little nettled at so direct an attack on his manhood but there are none who can say that i have ever forgotten my faith in the lord even in the greatest straits,my pursuits are peaceful and my temper i humbly trust is greatly given to mercy and love returned david a little nettled at so direct an attack on his manhood but there are none who can say that i have ever forgotten my faith in the lord even in the greatest straits,0.0
libri_00107,if you are not then knocked on the head your being a non composser will protect you and you'll then have a good reason to expect to die in your bed,if you are not then knocked on the head your being a noncomposer will protect you and you'll then have a good reason to expect to die in your bed,0.06451612903225806
libri_00108,so choose for yourself to make a rush or tarry here,so choose for yourself to make a rush or tarry here,0.0
libri_00109,bravely and generously has he battled in my behalf and this and more will i dare in his service,bravely and generously has he battled in my behalf and this and more will i dare in his service,0.0
libri_00110,keep silent as long as may be and it would be wise when you do speak to break out suddenly in one of your shoutings which will serve to remind the indians that you are not altogether as responsible as men should be,keep silent as long as may be and it would be wise when you do speak to break out suddenly in one of your shoutings which will serve to remind the indians that you are not altogether as responsible as men should be,0.0
libri_00111,if however they take your scalp as i trust and believe they will not depend on it uncas and i will not forget the deed but revenge it as becomes true warriors and trusty friends,if however they take your scalp as i trust and believe they will not depend on it uncas and i will not forget the deed but revenge it as becomes true warriors and trusty friends,0.0
libri_00112,hold said david perceiving that with this assurance they were about to leave him i am an unworthy and humble follower of one who taught not the damnable principle of revenge,hold said david perceiving that with this assurance they were about to leave him i am an unworthy and humble follower of one who taught not the damnable principle of revenge,0.0
libri_00113,then heaving a heavy sigh probably among the last he ever drew in pining for a condition he had so long abandoned he added it is what i would wish to practise myself as one without a cross of blood though it is not always easy to deal with an indian as you would with a fellow christian,then heaving a heavy sigh probably among the last he ever drew and pining for a condition he had so long abandoned he added it is what i would wish to practice myself as one without a cross of blood though it is not always easy to deal with an indian as you would with a fellow christian,0.034482758620689655
libri_00114,god bless you friend i do believe your scent is not greatly wrong when the matter is duly considered and keeping eternity before the eyes though much depends on the natural gifts and the force of temptation,god bless you friend i do believe your scent is not greatly wrong when the matter is duly considered and keeping eternity before the eyes though much depends on the natural gifts and the force of temptation,0.0
libri_00115,the delaware dog he said leaning forward and peering through the dim light to catch the expression of the other's features is he afraid,the delaware dog he said leaning forward and peering through the dim light to catch the expression of the other's features is he afraid,0.0
libri_00116,will the hurons hear his groans,will the hurons hear his groans,0.0
libri_00117,the mohican started on his feet and shook his shaggy covering as though the animal he counterfeited was about to make some desperate effort,the mohican started on his feet and shook his shaggy covering as though the animal he counterfeited was about to make some desperate effort,0.0
libri_00118,he had no occasion to delay for at the next instant a burst of cries filled the outer air and ran along the whole extent of the village,he had no occasion to delay for at the next instant a burst of cries filled the outer air and ran along the whole extent of the village,0.0
libri_00119,uncas cast his skin and stepped forth in his own beautiful proportions,uncas cast his skin and stepped forth in his own beautiful proportions,0.0
libri_00120,since the period of our tale the active spirit of the country has surrounded it with a belt of rich and thriving settlements though none but the hunter or the savage is ever known even now to penetrate its wild recesses,since the period of our tale the active spirit of the country has surrounded it with a belt of rich and thriving settlements though none but the hunter or the savage is ever known even now to penetrate its wild recesses,0.0
libri_00121,the dews were suffered to exhale and the sun had dispersed the mists and was shedding a strong and clear light in the forest when the travelers resumed their journey,the dews were suffered to exhale and the sun had dispersed the mists and was shedding a strong and clear light in the forest when the travellers resumed their journey,0.03333333333333333
libri_00122,after proceeding a few miles the progress of hawkeye who led the advance became more deliberate and watchful,after proceeding a few miles the progress of hawkeye who led the advance became more deliberate and watchful,0.0
libri_00123,he often stopped to examine the trees nor did he cross a rivulet without attentively considering the quantity the velocity and the color of its waters,he often stopped to examine the trees nor did he cross a rivulet without attentively considering the quantity the velocity and the color of its waters,0.0
libri_00124,distrusting his own judgment his appeals to the opinion of chingachgook were frequent and earnest,distrusting his own judgment his appeals to the opinion of chingachgook were frequent and earnest,0.0
libri_00125,yet here are we within a short range of the scaroons and not a sign of a trail have we crossed,yet here are we within a short range of the scaroons and not a sign of a trail have we crossed,0.0
libri_00126,let us retrace our steps and examine as we go with keener eyes,let us retrace our steps and examine as we go with keener eyes,0.0
libri_00127,chingachgook had caught the look and motioning with his hand he bade him speak,chingachgook had caught the look and motioning with his hand he bade him speak,0.0
libri_00128,the eyes of the whole party followed the unexpected movement and read their success in the air of triumph that the youth assumed,the eyes of the whole party followed the unexpected movement and read their success in the air of triumph that the youth assumed,0.0
libri_00129,it would have been more wonderful had he spoken without a bidding,it would have been more wonderful had he spoken without a bidding,0.0
libri_00130,see said uncas pointing north and south at the evident marks of the broad trail on either side of him the dark hair has gone toward the forest,see said uncas pointing north and south at the evident marks of the broad trail on either side of him the dark hare has gone toward the forest,0.03571428571428571
libri_00131,if a rock or a rivulet or a bit of earth harder than common severed the links of the clew they followed the true eye of the scout recovered them at a distance and seldom rendered the delay of a single moment necessary,if a rock or a rivulet or a bit of earth harder than common severed the links of the clue they followed the true eye of the scout recovered them at a distance and seldom rendered the delay of a single moment necessary,0.023255813953488372
libri_00132,extinguished brands were lying around a spring the offals of a deer were scattered about the place and the trees bore evident marks of having been browsed by the horses,extinguished brands were lying around a spring the offals of a deer were scattered about the place and the trees bore evident marks of having been browsed by the horses,0.0
libri_00133,a circle of a few hundred feet in circumference was drawn and each of the party took a segment for his portion,a circle of a few hundred feet in circumference was drawn and each of the party took a segment for his portion,0.0
libri_00134,the examination however resulted in no discovery,the examination however resulted in no discovery,0.0
libri_00135,the whole party crowded to the spot where uncas pointed out the impression of a moccasin in the moist alluvion,the whole party crowded to the spot where uncas pointed out the impression of a moccasin in the moist alluvion,0.0
libri_00136,run back uncas and bring me the size of the singer's foot,run back uncas and bring me the size of the singer's foot,0.0
libri_00137,eleven o'clock had struck it was a fine clear night they were the only persons on the road and they sauntered leisurely along to avoid paying the price of fatigue for the recreation provided for the toledans in their valley or on the banks of their river,eleven o'clock had struck it was a fine clear night there were the only persons on the road and they sauntered leisurely along to avoid paying the price of fatigue for the recreation provided for the toledans in the valley or on the banks of their river,0.0425531914893617
libri_00138,secure as he thought in the careful administration of justice in that city and the character of its well disposed inhabitants the good hidalgo was far from thinking that any disaster could befal his family,secure as he thought in the careful administration of justice in that city and the character of its well disposed inhabitants the good hidalgo was far from thinking that any disaster could befall his family,0.02857142857142857
libri_00139,rodolfo and his companions with their faces muffled in their cloaks stared rudely and insolently at the mother the daughter and the servant maid,rodolpho and his companions with their faces muffled in their cloaks stared rudely and insolently at the mother the daughter and the servant maid,0.041666666666666664
libri_00140,in a moment he communicated his thoughts to his companions and in the next moment they resolved to turn back and carry her off to please rodolfo for the rich who are open handed always find parasites ready to encourage their bad propensities and thus to conceive this wicked design to communicate it approve it resolve on ravishing leocadia and to carry that design into effect was the work of a moment,in a moment he communicated his thoughts to his companions and in the next moment they resolved to turn back and carry her off to please rudolfo for the rich who are open handed always find parasites ready to encourage their bad propensities and thus to conceive this wicked design to communicate it approve it resolve on ravishing leocadia and to carry that design into effect was the work of a moment,0.013888888888888888
libri_00141,they drew their swords hid their faces in the flaps of their cloaks turned back and soon came in front of the little party who had not yet done giving thanks to god for their escape from those audacious men,they drew their swords hid their faces in the flaps of their cloaks turned back and soon came in front of the little party who had not yet done giving thanks to god for their escape from those audacious men,0.0
libri_00142,finally the one party went off exulting and the other was left in desolation and woe,finally the one party went off exulting and the other was left in desolation and woe,0.0
libri_00143,rodolfo arrived at his own house without any impediment and leocadia's parents reached theirs heart broken and despairing,rodolpho arrived at his own house without any impediment and the acadia's parents reached theirs heart broken and despairing,0.16666666666666666
libri_00144,meanwhile rodolfo had leocadia safe in his custody and in his own apartment,meanwhile rodolpho had leucadia safe in his custody and in his own apartment,0.15384615384615385
libri_00145,who touches me am i in bed,who touches me am i in bed,0.0
libri_00146,mother dear father do you hear me,mother dear father do you hear me,0.0
libri_00147,it is the only amends i ask of you for the wrong you have done me,it is the only amends i ask of you for the wrong you have done me,0.0
libri_00148,she found the door but it was locked outside,she found the door but it was locked outside,0.0
libri_00149,she succeeded in opening the window and the moonlight shone in so brightly that she could distinguish the colour of some damask hangings in the room,she succeeded in opening the window and the moonlight shone in so brightly that she could distinguish the color of some damask hanging in the room,0.07692307692307693
libri_00150,she saw that the bed was gilded and so rich that it seemed that of a prince rather than of a private gentleman,she saw that the bed was gilded and so rich that it seemed that of a prince rather than of a private gentleman,0.0
libri_00151,among other things on which she cast her eyes was a small crucifix of solid silver standing on a cabinet near the window,among other things on which she cast her eyes was a small crucifix of solid silver standing on a cabinet near the window,0.0
libri_00152,this person was rodolfo who though he had gone to look for his friends had changed his mind in that respect not thinking it advisable to acquaint them with what had passed between him and the girl,this person was rodolpho who though he had gone to look for his friends had changed his mind in that respect not thinking it advisable to acquaint them with what had passed between him and the girl,0.02702702702702703
libri_00153,on the contrary he resolved to tell them that repenting of his violence and moved by her tears he had only carried her half way towards his house and then let her go,on the contrary he resolved to tell them that repenting of his violence and moved by his tears he had only carried her half way towards his house and then let her go,0.030303030303030304
libri_00154,choking with emotion leocadi made a sign to her parents that she wished to be alone with them,choking with emotion the acadia made a sign to her parents that she wished to be alone with them,0.1111111111111111
libri_00155,that would be very well my child replied her father if your plan were not liable to be frustrated by ordinary cunning but no doubt this image has been already missed by its owner and he will have set it down for certain that it was taken out of the room by the person he locked up there,that would be very well my child replied her father if your plan were not liable to be frustrated by ordinary cunning but no doubt this image had been already missed by its owner and he will have set it down for certain that it was taken out of the room by the person he locked up there,0.017241379310344827
libri_00156,what you had best do my child is to keep it and pray to it that since it was a witness to your undoing it will deign to vindicate your cause by its righteous judgment,what you had best do my child is to keep it and pray to it that since it was a witness to your undoing it will deign to vindicate your cause by its righteous judgment,0.0
libri_00157,thus did this humane and right minded father comfort his unhappy daughter and her mother embracing her again did all she could to soothe her feelings,thus did the humane and right minded father comfort his unhappy daughter and her mother embracing her again did all she could to soothe the feelings,0.07692307692307693
libri_00158,she meanwhile passed her life with her parents in the strictest retirement never letting herself be seen but shunning every eye lest it should read her misfortune in her face,she meanwhile passed her life with her parents in the strictest retirement never letting herself be seen but shunning every eye lest it should read her misfortune in her face,0.0
libri_00159,time rolled on the hour of her delivery arrived it took place in the utmost secrecy her mother taking upon her the office of midwife and she gave birth to a son one of the most beautiful ever seen,time rolled on the hour of her delivery arrived it took place in the utmost secrecy her mother taking upon her the office of midwife as she gave birth to a son one of the most beautiful ever seen,0.02564102564102564
libri_00160,when the boy walked through the streets blessings were showered upon him by all who saw him blessings upon his beauty upon the mother that bore him upon the father that begot him upon those who brought him up so well,when the boy walked through the streets blessings were showered upon him by all who saw him blessing upon his beauty upon the mother that bore him upon the father that begot him upon those who brought him up so well,0.024390243902439025
libri_00161,one day when the boy was sent by his grandfather with a message to a relation he passed along a street in which there was a great concourse of horsemen,one day when the boy was sent by his grandfather with a message to a relation he passed along a street in which there was a great concourse of horsemen,0.0
libri_00162,the bed she too well remembered was there and above all the cabinet on which had stood the image she had taken away was still on the same spot,the bed she too well remembered was there and above all the cabinet on which had stood the image she had taken away was still on the same spot,0.0
libri_00163,luis was out of danger in a fortnight in a month he rose from his bed and during all that time he was visited daily by his mother and grandmother and treated by the master and mistress of the house as if he was their own child,louis was out of danger in a fortnight in a month he rose from his bed and drew in all that time he was visited daily by his mother and grandmother and treated by the master and mistress of the house as if he was their own child,0.06382978723404255
libri_00164,thus saying and pressing the crucifix to her breast she fell fainting into the arms of dona estafania who as a gentlewoman to whose sex pity is as natural as cruelty is to man instantly pressed her lips to those of the fainting girl shedding over her so many tears that there needed no other sprinkling of water to recover leocadia from her swoon,thus saying and pressing the crucifix to her breast she fell fainting into the arms of donna estephania who as a gentlewoman to whose sex pity is a natural as cruelty as to man instantly pressed her lips to those of the fainting girl shedding over her so many tears that there needed no other sprinkling of water to recover the acadia from her swoon,0.09375
libri_00165,i have great things to tell you senor said dona estafania to her husband the cream and substance of which is this the fainting girl before you is your daughter and that boy is your grandson,i have great things to tell you senor said don estefania to her husband the cream and substance of which is this the fainting girl before you is your daughter and the boy is your grandson,0.08333333333333333
libri_00166,this truth which i have learned from her lips is confirmed by his face in which we have both beheld that of our son,this truth which i have learned from her lips is confirmed by his face in which we have both beheld that of our son,0.0
libri_00167,just then leocadia came to herself and embracing the cross seemed changed into a sea of tears and the gentleman remained in utter bewilderment until his wife had repeated to him from beginning to end leocadia's whole story and he believed it through the blessed dispensation of heaven which had confirmed it by so many convincing testimonies,just then leocadia came to herself and embracing the cross seemed changed into a sea of tears and the gentleman remaining in utter bewilderment until his wife had repeated to him from beginning to end leocadia's whole story and he believed it through the blessed dispensation of heaven which had confirmed it by so many convincing testimonies,0.017543859649122806
