clean_name,singer_id,technique,group,gt_lyrics,asr_hypothesis
EN-Tenor-1__mixed_falsetto__technique__0010,EN-Tenor-1,mixed_falsetto,technique,in the shallow shallow in the shallow shallow shallow,in the shadow shadow in the shadow shadow
EN-Tenor-1__mixed_falsetto__technique__0006,EN-Tenor-1,mixed_falsetto,technique,i'm falling in all the good times i find myself longing,i know you will i know you will i know that you will will you still love me
EN-Tenor-1__mixed_falsetto__technique__0005,EN-Tenor-1,mixed_falsetto,technique,or do you need more ain't it hard keeping it so hardcore,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__technique__0007,EN-Tenor-1,mixed_falsetto,technique,for change and in the bad times i fear myself,when i'm no longer beautiful
EN-Tenor-1__mixed_falsetto__technique__0004,EN-Tenor-1,mixed_falsetto,technique,tell me something boy aren't you tired tryna fill that void,will you still love me when i'm no longer young and beautiful
EN-Tenor-1__mixed_falsetto__technique__0003,EN-Tenor-1,mixed_falsetto,technique,for change and in the bad times i fear myself,the crazy days city lights the way you play with me like a child
EN-Tenor-1__mixed_falsetto__technique__0001,EN-Tenor-1,mixed_falsetto,technique,or do you need more is there something you're searching,diamonds brilliant and bare now
EN-Tenor-1__mixed_falsetto__technique__0002,EN-Tenor-1,mixed_falsetto,technique,for i'm falling in all the good times i find myself longing,oh summer nights mid july when you and i were forever wild
EN-Tenor-1__mixed_falsetto__technique__0008,EN-Tenor-1,mixed_falsetto,technique,i'm off the deep end watch as i dive in i'll never meet the ground,i'm on the deep end watch as i dive in i never meet the ground
EN-Tenor-1__mixed_falsetto__technique__0009,EN-Tenor-1,mixed_falsetto,technique,crash through the surface where they can't hurt us we're far from the shallow now,cry through the surface where they can't hurt us we're far from the shallow now
EN-Tenor-1__mixed_falsetto__technique__0011,EN-Tenor-1,mixed_falsetto,technique,in the shallow shallow we're far from the shallow now,in the shadow of the shadow of the sun
EN-Tenor-1__mixed_falsetto__technique__0000,EN-Tenor-1,mixed_falsetto,technique,tell me something girl are you happy in this modern world,i've seen the world down it all have my cake now
EN-Tenor-1__mixed_falsetto__control__0010,EN-Tenor-1,mixed_falsetto,control,in the shallow shallow in the shallow shallow shallow,in the shadow shadow in the shadow shadow
EN-Tenor-1__mixed_falsetto__control__0006,EN-Tenor-1,mixed_falsetto,control,i'm falling in all the good times i find myself longing,i know you will i know you will i know that you will will you still love me
EN-Tenor-1__mixed_falsetto__control__0005,EN-Tenor-1,mixed_falsetto,control,or do you need more ain't it hard keeping it so hardcore,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__control__0007,EN-Tenor-1,mixed_falsetto,control,for change and in the bad times i fear myself,when i'm no longer beautiful
EN-Tenor-1__mixed_falsetto__control__0004,EN-Tenor-1,mixed_falsetto,control,tell me something boy aren't you tired tryna fill that void,will you still love me when i'm no longer young and beautiful
EN-Tenor-1__mixed_falsetto__control__0003,EN-Tenor-1,mixed_falsetto,control,for change and in the bad times i fear myself,the crazy days city lights the way you play with me like a child
EN-Tenor-1__mixed_falsetto__control__0001,EN-Tenor-1,mixed_falsetto,control,or do you need more is there something you're searching,diamonds brilliant and bare now
EN-Tenor-1__mixed_falsetto__control__0002,EN-Tenor-1,mixed_falsetto,control,for i'm falling in all the good times i find myself longing,oh summer nights mid july when you and i were forever wild
EN-Tenor-1__mixed_falsetto__control__0008,EN-Tenor-1,mixed_falsetto,control,i'm off the deep end watch as i dive in i'll never meet the ground,i'm on the deep end watch as i dive in i never meet the ground
EN-Tenor-1__mixed_falsetto__control__0009,EN-Tenor-1,mixed_falsetto,control,crash through the surface where they can't hurt us we're far from the shallow now,cry through the surface where they can't hurt us we're far from the shallow now
EN-Tenor-1__mixed_falsetto__control__0011,EN-Tenor-1,mixed_falsetto,control,in the shallow shallow we're far from the shallow now,in the shadow of the shadow of the sun
EN-Tenor-1__mixed_falsetto__control__0000,EN-Tenor-1,mixed_falsetto,control,tell me something girl are you happy in this modern world,i've seen the world down it all have my cake now
EN-Tenor-1__mixed_falsetto__technique__0010,EN-Tenor-1,mixed_falsetto,technique,in the shallow shallow in the shallow shallow shallow,in the shadow shadow in the shadow shadow
EN-Tenor-1__mixed_falsetto__technique__0006,EN-Tenor-1,mixed_falsetto,technique,i'm falling in all the good times i find myself longing,i know you will i know you will i know that you will will you still love me
EN-Tenor-1__mixed_falsetto__technique__0005,EN-Tenor-1,mixed_falsetto,technique,or do you need more ain't it hard keeping it so hardcore,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__technique__0007,EN-Tenor-1,mixed_falsetto,technique,for change and in the bad times i fear myself,when i'm no longer beautiful
EN-Tenor-1__mixed_falsetto__technique__0004,EN-Tenor-1,mixed_falsetto,technique,tell me something boy aren't you tired tryna fill that void,will you still love me when i'm no longer young and beautiful
EN-Tenor-1__mixed_falsetto__technique__0003,EN-Tenor-1,mixed_falsetto,technique,for change and in the bad times i fear myself,the crazy days city lights the way you play with me like a child
EN-Tenor-1__mixed_falsetto__technique__0001,EN-Tenor-1,mixed_falsetto,technique,or do you need more is there something you're searching,diamonds brilliant and bare now
EN-Tenor-1__mixed_falsetto__technique__0002,EN-Tenor-1,mixed_falsetto,technique,for i'm falling in all the good times i find myself longing,oh summer nights mid july when you and i were forever wild
EN-Tenor-1__mixed_falsetto__technique__0008,EN-Tenor-1,mixed_falsetto,technique,i'm off the deep end watch as i dive in i'll never meet the ground,i'm on the deep end watch as i dive in i never meet the ground
EN-Tenor-1__mixed_falsetto__technique__0009,EN-Tenor-1,mixed_falsetto,technique,crash through the surface where they can't hurt us we're far from the shallow now,cry through the surface where they can't hurt us we're far from the shallow now
EN-Tenor-1__mixed_falsetto__technique__0011,EN-Tenor-1,mixed_falsetto,technique,in the shallow shallow we're far from the shallow now,in the shadow of the shadow of the sun
EN-Tenor-1__mixed_falsetto__technique__0000,EN-Tenor-1,mixed_falsetto,technique,tell me something girl are you happy in this modern world,i've seen the world down it all have my cake now
EN-Tenor-1__mixed_falsetto__technique__0005,EN-Tenor-1,mixed_falsetto,technique,you were my town now i'm in exile seeing you out i think i've seen this film before so i'm leaving out the side door,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__technique__0004,EN-Tenor-1,mixed_falsetto,technique,you're not my homeland anymore so what am i defending now,will you still love me when i'm no longer young and beautiful
EN-Tenor-1__mixed_falsetto__technique__0003,EN-Tenor-1,mixed_falsetto,technique,i think i've seen this film before and i didn't like the ending,the crazy days city lights the way you play with me like a child
EN-Tenor-1__mixed_falsetto__technique__0001,EN-Tenor-1,mixed_falsetto,technique,laughing but the joke's not funny at all and it took you five whole minutes,diamonds brilliant and bare now
EN-Tenor-1__mixed_falsetto__technique__0002,EN-Tenor-1,mixed_falsetto,technique,to pack us up and leave me with it holding all this love out here in the hall,oh summer nights mid july when you and i were forever wild
EN-Tenor-1__mixed_falsetto__technique__0000,EN-Tenor-1,mixed_falsetto,technique,i can see you standing honey with his arms around your body,i've seen the world down it all have my cake now
EN-Tenor-1__mixed_falsetto__control__0005,EN-Tenor-1,mixed_falsetto,control,you were my town now i'm in exile seeing you out i think i've seen this film before so i'm leaving out the side door,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__control__0004,EN-Tenor-1,mixed_falsetto,control,you're not my homeland anymore so what am i defending now,will you still love me when i'm no longer young and beautiful
EN-Tenor-1__mixed_falsetto__control__0003,EN-Tenor-1,mixed_falsetto,control,i think i've seen this film before and i didn't like the ending,the crazy days city lights the way you play with me like a child
EN-Tenor-1__mixed_falsetto__control__0001,EN-Tenor-1,mixed_falsetto,control,laughing but the joke's not funny at all and it took you five whole minutes,diamonds brilliant and bare now
EN-Tenor-1__mixed_falsetto__control__0002,EN-Tenor-1,mixed_falsetto,control,to pack us up and leave me with it holding all this love out here in the hall,oh summer nights mid july when you and i were forever wild
EN-Tenor-1__mixed_falsetto__control__0000,EN-Tenor-1,mixed_falsetto,control,i can see you standing honey with his arms around your body,i've seen the world down it all have my cake now
EN-Tenor-1__mixed_falsetto__technique__0005,EN-Tenor-1,mixed_falsetto,technique,you were my town now i'm in exile seeing you out i think i've seen this film before so i'm leaving out the side door,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__technique__0004,EN-Tenor-1,mixed_falsetto,technique,you're not my homeland anymore so what am i defending now,will you still love me when i'm no longer young and beautiful
EN-Tenor-1__mixed_falsetto__technique__0003,EN-Tenor-1,mixed_falsetto,technique,i think i've seen this film before and i didn't like the ending,the crazy days city lights the way you play with me like a child
EN-Tenor-1__mixed_falsetto__technique__0001,EN-Tenor-1,mixed_falsetto,technique,laughing but the joke's not funny at all and it took you five whole minutes,diamonds brilliant and bare now
EN-Tenor-1__mixed_falsetto__technique__0002,EN-Tenor-1,mixed_falsetto,technique,to pack us up and leave me with it holding all this love out here in the hall,oh summer nights mid july when you and i were forever wild
EN-Tenor-1__mixed_falsetto__technique__0000,EN-Tenor-1,mixed_falsetto,technique,i can see you standing honey with his arms around your body,i've seen the world down it all have my cake now
EN-Tenor-1__mixed_falsetto__technique__0006,EN-Tenor-1,mixed_falsetto,technique,now i'm lying on the cold hard ground trouble trouble trouble,i know you will i know you will i know that you will will you still love me
EN-Tenor-1__mixed_falsetto__technique__0005,EN-Tenor-1,mixed_falsetto,technique,so shame on me now flew me to places i'd never been,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__technique__0007,EN-Tenor-1,mixed_falsetto,technique,trouble trouble trouble and the saddest fear comes creeping in that you never loved me or her or anyone or anything,when i'm no longer beautiful
EN-Tenor-1__mixed_falsetto__technique__0004,EN-Tenor-1,mixed_falsetto,technique,till you put me down oh i knew you were trouble when you walked in,will you still love me when i'm no longer young and beautiful
EN-Tenor-1__mixed_falsetto__technique__0003,EN-Tenor-1,mixed_falsetto,technique,i knew you were trouble when you walked in so shame on me now flew me to places i'd never been,the crazy days city lights the way you play with me like a child
EN-Tenor-1__mixed_falsetto__technique__0001,EN-Tenor-1,mixed_falsetto,technique,you found me you found me i guess you didn't care and i guess i liked that and when i fell hard you took a step back without me without me,diamonds brilliant and bare now
EN-Tenor-1__mixed_falsetto__technique__0002,EN-Tenor-1,mixed_falsetto,technique,without me and he's long gone when he's next to me and i realize the blame is on me,oh summer nights mid july when you and i were forever wild
EN-Tenor-1__mixed_falsetto__technique__0000,EN-Tenor-1,mixed_falsetto,technique,once upon a time a few mistakes ago i was in your sights you got me alone you found me,i've seen the world down it all have my cake now
EN-Tenor-1__mixed_falsetto__control__0006,EN-Tenor-1,mixed_falsetto,control,now i'm lying on the cold hard ground trouble trouble trouble,i know you will i know you will i know that you will will you still love me
EN-Tenor-1__mixed_falsetto__control__0005,EN-Tenor-1,mixed_falsetto,control,so shame on me now flew me to places i'd never been,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__control__0007,EN-Tenor-1,mixed_falsetto,control,trouble trouble trouble and the saddest fear comes creeping in that you never loved me or her or anyone or anything,when i'm no longer beautiful
EN-Tenor-1__mixed_falsetto__control__0004,EN-Tenor-1,mixed_falsetto,control,till you put me down oh i knew you were trouble when you walked in,will you still love me when i'm no longer young and beautiful
EN-Tenor-1__mixed_falsetto__control__0003,EN-Tenor-1,mixed_falsetto,control,i knew you were trouble when you walked in so shame on me now flew me to places i'd never been,the crazy days city lights the way you play with me like a child
EN-Tenor-1__mixed_falsetto__control__0001,EN-Tenor-1,mixed_falsetto,control,you found me you found me i guess you didn't care and i guess i liked that and when i fell hard you took a step back without me without me,diamonds brilliant and bare now
EN-Tenor-1__mixed_falsetto__control__0002,EN-Tenor-1,mixed_falsetto,control,without me and he's long gone when he's next to me and i realize the blame is on me,oh summer nights mid july when you and i were forever wild
EN-Tenor-1__mixed_falsetto__control__0000,EN-Tenor-1,mixed_falsetto,control,once upon a time a few mistakes ago i was in your sights you got me alone you found me,i've seen the world down it all have my cake now
EN-Tenor-1__mixed_falsetto__technique__0006,EN-Tenor-1,mixed_falsetto,technique,now i'm lying on the cold hard ground trouble trouble trouble,i know you will i know you will i know that you will will you still love me
EN-Tenor-1__mixed_falsetto__technique__0005,EN-Tenor-1,mixed_falsetto,technique,so shame on me now flew me to places i'd never been,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__technique__0007,EN-Tenor-1,mixed_falsetto,technique,trouble trouble trouble and the saddest fear comes creeping in that you never loved me or her or anyone or anything,when i'm no longer beautiful
EN-Tenor-1__mixed_falsetto__technique__0004,EN-Tenor-1,mixed_falsetto,technique,till you put me down oh i knew you were trouble when you walked in,will you still love me when i'm no longer young and beautiful
EN-Tenor-1__mixed_falsetto__technique__0003,EN-Tenor-1,mixed_falsetto,technique,i knew you were trouble when you walked in so shame on me now flew me to places i'd never been,the crazy days city lights the way you play with me like a child
EN-Tenor-1__mixed_falsetto__technique__0001,EN-Tenor-1,mixed_falsetto,technique,you found me you found me i guess you didn't care and i guess i liked that and when i fell hard you took a step back without me without me,diamonds brilliant and bare now
EN-Tenor-1__mixed_falsetto__technique__0002,EN-Tenor-1,mixed_falsetto,technique,without me and he's long gone when he's next to me and i realize the blame is on me,oh summer nights mid july when you and i were forever wild
EN-Tenor-1__mixed_falsetto__technique__0000,EN-Tenor-1,mixed_falsetto,technique,once upon a time a few mistakes ago i was in your sights you got me alone you found me,i've seen the world down it all have my cake now
EN-Tenor-1__mixed_falsetto__technique__0006,EN-Tenor-1,mixed_falsetto,technique,a bloodstain i knew you tried to change the ending peter losing wendy,i know you will i know you will i know that you will will you still love me
EN-Tenor-1__mixed_falsetto__technique__0005,EN-Tenor-1,mixed_falsetto,technique,but now i'm bleeding cause i knew you stepping on the last train marked me like,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__technique__0007,EN-Tenor-1,mixed_falsetto,technique,vintage tee brand new phone high heels on cobblestones,when i'm no longer beautiful
EN-Tenor-1__mixed_falsetto__technique__0004,EN-Tenor-1,mixed_falsetto,technique,was all we needed you drew stars around my scars,will you still love me when i'm no longer young and beautiful
EN-Tenor-1__mixed_falsetto__technique__0003,EN-Tenor-1,mixed_falsetto,technique,you put me on and said i was your favorite to kiss in cars and downtown bars,the crazy days city lights the way you play with me like a child
EN-Tenor-1__mixed_falsetto__technique__0001,EN-Tenor-1,mixed_falsetto,technique,i knew you your heartbeat on the high line once in twenty lifetimes,diamonds brilliant and bare now
EN-Tenor-1__mixed_falsetto__technique__0002,EN-Tenor-1,mixed_falsetto,technique,and when i felt like i was an old cardigan under someone's bed,oh summer nights mid july when you and i were forever wild
EN-Tenor-1__mixed_falsetto__technique__0008,EN-Tenor-1,mixed_falsetto,technique,when you are young they assume you know nothing sequin smile black lipstick,i'm on the deep end watch as i dive in i never meet the ground
EN-Tenor-1__mixed_falsetto__technique__0009,EN-Tenor-1,mixed_falsetto,technique,sensual politics when you are young they assume you know nothing,cry through the surface where they can't hurt us we're far from the shallow now
EN-Tenor-1__mixed_falsetto__technique__0000,EN-Tenor-1,mixed_falsetto,technique,but i knew you playing hide and seek and giving me your weekends,i've seen the world down it all have my cake now
EN-Tenor-1__mixed_falsetto__control__0006,EN-Tenor-1,mixed_falsetto,control,a bloodstain i knew you tried to change the ending peter losing wendy,i know you will i know you will i know that you will will you still love me
EN-Tenor-1__mixed_falsetto__control__0005,EN-Tenor-1,mixed_falsetto,control,but now i'm bleeding cause i knew you stepping on the last train marked me like,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__control__0007,EN-Tenor-1,mixed_falsetto,control,vintage tee brand new phone high heels on cobblestones,when i'm no longer beautiful
EN-Tenor-1__mixed_falsetto__control__0004,EN-Tenor-1,mixed_falsetto,control,was all we needed you drew stars around my scars,will you still love me when i'm no longer young and beautiful
EN-Tenor-1__mixed_falsetto__control__0003,EN-Tenor-1,mixed_falsetto,control,you put me on and said i was your favorite to kiss in cars and downtown bars,the crazy days city lights the way you play with me like a child
EN-Tenor-1__mixed_falsetto__control__0001,EN-Tenor-1,mixed_falsetto,control,i knew you your heartbeat on the high line once in twenty lifetimes,diamonds brilliant and bare now
EN-Tenor-1__mixed_falsetto__control__0002,EN-Tenor-1,mixed_falsetto,control,and when i felt like i was an old cardigan under someone's bed,oh summer nights mid july when you and i were forever wild
EN-Tenor-1__mixed_falsetto__control__0008,EN-Tenor-1,mixed_falsetto,control,when you are young they assume you know nothing sequin smile black lipstick,i'm on the deep end watch as i dive in i never meet the ground
EN-Tenor-1__mixed_falsetto__control__0009,EN-Tenor-1,mixed_falsetto,control,sensual politics when you are young they assume you know nothing,cry through the surface where they can't hurt us we're far from the shallow now
EN-Tenor-1__mixed_falsetto__control__0000,EN-Tenor-1,mixed_falsetto,control,but i knew you playing hide and seek and giving me your weekends,i've seen the world down it all have my cake now
EN-Tenor-1__mixed_falsetto__technique__0006,EN-Tenor-1,mixed_falsetto,technique,a bloodstain i knew you tried to change the ending peter losing wendy,i know you will i know you will i know that you will will you still love me
EN-Tenor-1__mixed_falsetto__technique__0005,EN-Tenor-1,mixed_falsetto,technique,but now i'm bleeding cause i knew you stepping on the last train marked me like,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__technique__0007,EN-Tenor-1,mixed_falsetto,technique,vintage tee brand new phone high heels on cobblestones,when i'm no longer beautiful
EN-Tenor-1__mixed_falsetto__technique__0004,EN-Tenor-1,mixed_falsetto,technique,was all we needed you drew stars around my scars,will you still love me when i'm no longer young and beautiful
EN-Tenor-1__mixed_falsetto__technique__0003,EN-Tenor-1,mixed_falsetto,technique,you put me on and said i was your favorite to kiss in cars and downtown bars,the crazy days city lights the way you play with me like a child
EN-Tenor-1__mixed_falsetto__technique__0001,EN-Tenor-1,mixed_falsetto,technique,i knew you your heartbeat on the high line once in twenty lifetimes,diamonds brilliant and bare now
EN-Tenor-1__mixed_falsetto__technique__0002,EN-Tenor-1,mixed_falsetto,technique,and when i felt like i was an old cardigan under someone's bed,oh summer nights mid july when you and i were forever wild
EN-Tenor-1__mixed_falsetto__technique__0008,EN-Tenor-1,mixed_falsetto,technique,when you are young they assume you know nothing sequin smile black lipstick,i'm on the deep end watch as i dive in i never meet the ground
EN-Tenor-1__mixed_falsetto__technique__0009,EN-Tenor-1,mixed_falsetto,technique,sensual politics when you are young they assume you know nothing,cry through the surface where they can't hurt us we're far from the shallow now
EN-Tenor-1__mixed_falsetto__technique__0000,EN-Tenor-1,mixed_falsetto,technique,but i knew you playing hide and seek and giving me your weekends,i've seen the world down it all have my cake now
EN-Tenor-1__mixed_falsetto__technique__0006,EN-Tenor-1,mixed_falsetto,technique,but someday i might someday i might,i know you will i know you will i know that you will will you still love me
EN-Tenor-1__mixed_falsetto__technique__0005,EN-Tenor-1,mixed_falsetto,technique,but i wanna try i don't know how to feel,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__technique__0007,EN-Tenor-1,mixed_falsetto,technique,think i forgot how to be happy something i'm not but,when i'm no longer beautiful
EN-Tenor-1__mixed_falsetto__technique__0004,EN-Tenor-1,mixed_falsetto,technique,cause i i don't know how to feel,will you still love me when i'm no longer young and beautiful
EN-Tenor-1__mixed_falsetto__technique__0003,EN-Tenor-1,mixed_falsetto,technique,turns out i'm not real just something you paid for what was i made for,the crazy days city lights the way you play with me like a child
EN-Tenor-1__mixed_falsetto__technique__0001,EN-Tenor-1,mixed_falsetto,technique,but i'm not sure now what i was made for,diamonds brilliant and bare now
EN-Tenor-1__mixed_falsetto__technique__0002,EN-Tenor-1,mixed_falsetto,technique,what was i made for taking a drive i was an ideal looked so alive,oh summer nights mid july when you and i were forever wild
EN-Tenor-1__mixed_falsetto__technique__0008,EN-Tenor-1,mixed_falsetto,technique,something i can be something i wait for,i'm on the deep end watch as i dive in i never meet the ground
EN-Tenor-1__mixed_falsetto__technique__0009,EN-Tenor-1,mixed_falsetto,technique,something i'm made for something i'm made for,cry through the surface where they can't hurt us we're far from the shallow now
EN-Tenor-1__mixed_falsetto__technique__0000,EN-Tenor-1,mixed_falsetto,technique,i used to float now i just fall down i used to know,i've seen the world down it all have my cake now
EN-Tenor-1__mixed_falsetto__control__0006,EN-Tenor-1,mixed_falsetto,control,but someday i might someday i might,i know you will i know you will i know that you will will you still love me
EN-Tenor-1__mixed_falsetto__control__0005,EN-Tenor-1,mixed_falsetto,control,but i wanna try i don't know how to feel,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__control__0007,EN-Tenor-1,mixed_falsetto,control,think i forgot how to be happy something i'm not but,when i'm no longer beautiful
EN-Tenor-1__mixed_falsetto__control__0004,EN-Tenor-1,mixed_falsetto,control,cause i i don't know how to feel,will you still love me when i'm no longer young and beautiful
EN-Tenor-1__mixed_falsetto__control__0003,EN-Tenor-1,mixed_falsetto,control,turns out i'm not real just something you paid for what was i made for,the crazy days city lights the way you play with me like a child
EN-Tenor-1__mixed_falsetto__control__0001,EN-Tenor-1,mixed_falsetto,control,but i'm not sure now what i was made for,diamonds brilliant and bare now
EN-Tenor-1__mixed_falsetto__control__0002,EN-Tenor-1,mixed_falsetto,control,what was i made for taking a drive i was an ideal looked so alive,oh summer nights mid july when you and i were forever wild
EN-Tenor-1__mixed_falsetto__control__0008,EN-Tenor-1,mixed_falsetto,control,something i can be something i wait for,i'm on the deep end watch as i dive in i never meet the ground
EN-Tenor-1__mixed_falsetto__control__0009,EN-Tenor-1,mixed_falsetto,control,something i'm made for something i'm made for,cry through the surface where they can't hurt us we're far from the shallow now
EN-Tenor-1__mixed_falsetto__control__0000,EN-Tenor-1,mixed_falsetto,control,i used to float now i just fall down i used to know,i've seen the world down it all have my cake now
EN-Tenor-1__mixed_falsetto__technique__0006,EN-Tenor-1,mixed_falsetto,technique,but someday i might someday i might,i know you will i know you will i know that you will will you still love me
EN-Tenor-1__mixed_falsetto__technique__0005,EN-Tenor-1,mixed_falsetto,technique,but i wanna try i don't know how to feel,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__technique__0007,EN-Tenor-1,mixed_falsetto,technique,think i forgot how to be happy something i'm not but,when i'm no longer beautiful
EN-Tenor-1__mixed_falsetto__technique__0004,EN-Tenor-1,mixed_falsetto,technique,cause i i don't know how to feel,will you still love me when i'm no longer young and beautiful
EN-Tenor-1__mixed_falsetto__technique__0003,EN-Tenor-1,mixed_falsetto,technique,turns out i'm not real just something you paid for what was i made for,the crazy days city lights the way you play with me like a child
EN-Tenor-1__mixed_falsetto__technique__0001,EN-Tenor-1,mixed_falsetto,technique,but i'm not sure now what i was made for,diamonds brilliant and bare now
EN-Tenor-1__mixed_falsetto__technique__0002,EN-Tenor-1,mixed_falsetto,technique,what was i made for taking a drive i was an ideal looked so alive,oh summer nights mid july when you and i were forever wild
EN-Tenor-1__mixed_falsetto__technique__0008,EN-Tenor-1,mixed_falsetto,technique,something i can be something i wait for,i'm on the deep end watch as i dive in i never meet the ground
EN-Tenor-1__mixed_falsetto__technique__0009,EN-Tenor-1,mixed_falsetto,technique,something i'm made for something i'm made for,cry through the surface where they can't hurt us we're far from the shallow now
EN-Tenor-1__mixed_falsetto__technique__0000,EN-Tenor-1,mixed_falsetto,technique,i used to float now i just fall down i used to know,i've seen the world down it all have my cake now
EN-Tenor-1__mixed_falsetto__technique__0010,EN-Tenor-1,mixed_falsetto,technique,boom boom boom even brighter than the moon moon moon,in the shadow shadow in the shadow shadow
EN-Tenor-1__mixed_falsetto__technique__0006,EN-Tenor-1,mixed_falsetto,technique,cause baby you're a firework come on show em what you're worth make em go aah,i know you will i know you will i know that you will will you still love me
EN-Tenor-1__mixed_falsetto__technique__0005,EN-Tenor-1,mixed_falsetto,technique,just own the night like the forth of july,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__technique__0007,EN-Tenor-1,mixed_falsetto,technique,aah aah as you shoot across the sky y y baby you're a firework,when i'm no longer beautiful
