corpus_stem,singer,style,song,group,utt_id,MFA Only,SOFA,gain_sofa_vs_mfa_ms
EN-Alto-1_Breathy_all is found_Control_Group_0010,EN-Alto-1,Breathy,all is found,Control_Group,0010,34.67857142857143,,
EN-Alto-1_Breathy_all is found_Control_Group_0011,EN-Alto-1,Breathy,all is found,Control_Group,0011,55.92857142857141,,
EN-Alto-1_Breathy_all is found_Control_Group_0012,EN-Alto-1,Breathy,all is found,Control_Group,0012,25.152173913043566,,
EN-Alto-1_Breathy_all is found_Control_Group_0013,EN-Alto-1,Breathy,all is found,Control_Group,0013,222.14285714285697,,
EN-Alto-1_Breathy_all is found_Paired_Speech_Group_0000,EN-Alto-1,Breathy,all is found,Paired_Speech_Group,0000,24.2105263157895,,
EN-Alto-1_Breathy_all is found_Paired_Speech_Group_0001,EN-Alto-1,Breathy,all is found,Paired_Speech_Group,0001,17.262500000000006,,
EN-Alto-1_Breathy_all is found_Paired_Speech_Group_0002,EN-Alto-1,Breathy,all is found,Paired_Speech_Group,0002,23.576923076923073,,
EN-Alto-1_Breathy_all is found_Paired_Speech_Group_0003,EN-Alto-1,Breathy,all is found,Paired_Speech_Group,0003,26.25000000000001,,
EN-Alto-1_Breathy_all is found_Paired_Speech_Group_0004,EN-Alto-1,Breathy,all is found,Paired_Speech_Group,0004,22.189655172413772,,
EN-Alto-1_Breathy_all is found_Paired_Speech_Group_0005,EN-Alto-1,Breathy,all is found,Paired_Speech_Group,0005,40.653846153846175,,
EN-Alto-1_Breathy_all is found_Paired_Speech_Group_0006,EN-Alto-1,Breathy,all is found,Paired_Speech_Group,0006,19.611111111111157,,
EN-Alto-1_Breathy_all is found_Paired_Speech_Group_0007,EN-Alto-1,Breathy,all is found,Paired_Speech_Group,0007,35.07692307692307,,
EN-Alto-1_Breathy_all is found_Paired_Speech_Group_0008,EN-Alto-1,Breathy,all is found,Paired_Speech_Group,0008,37.882352941176485,,
EN-Alto-1_Breathy_all is found_Paired_Speech_Group_0009,EN-Alto-1,Breathy,all is found,Paired_Speech_Group,0009,65.00000000000001,,
EN-Alto-1_Breathy_all is found_Paired_Speech_Group_0010,EN-Alto-1,Breathy,all is found,Paired_Speech_Group,0010,26.842105263157908,,
EN-Alto-1_Breathy_all is found_Paired_Speech_Group_0011,EN-Alto-1,Breathy,all is found,Paired_Speech_Group,0011,17.499999999999982,,
EN-Alto-1_Breathy_all is found_Paired_Speech_Group_0012,EN-Alto-1,Breathy,all is found,Paired_Speech_Group,0012,21.20000000000001,,
EN-Alto-1_Breathy_all is found_Paired_Speech_Group_0013,EN-Alto-1,Breathy,all is found,Paired_Speech_Group,0013,28.636363636363647,,
EN-Alto-1_Breathy_innocence_Breathy_Group_0000,EN-Alto-1,Breathy,innocence,Breathy_Group,0000,24.144444444444403,,
EN-Alto-1_Breathy_innocence_Breathy_Group_0001,EN-Alto-1,Breathy,innocence,Breathy_Group,0001,22.462962962962962,,
EN-Alto-1_Breathy_innocence_Breathy_Group_0002,EN-Alto-1,Breathy,innocence,Breathy_Group,0002,36.35416666666667,,
EN-Alto-1_Breathy_innocence_Breathy_Group_0003,EN-Alto-1,Breathy,innocence,Breathy_Group,0003,82.60000000000001,,
EN-Alto-1_Breathy_innocence_Breathy_Group_0004,EN-Alto-1,Breathy,innocence,Breathy_Group,0004,36.9047619047619,,
EN-Alto-1_Breathy_innocence_Breathy_Group_0005,EN-Alto-1,Breathy,innocence,Breathy_Group,0005,109.1785714285714,,
EN-Alto-1_Breathy_innocence_Breathy_Group_0006,EN-Alto-1,Breathy,innocence,Breathy_Group,0006,50.63043478260862,,
EN-Alto-1_Breathy_innocence_Breathy_Group_0007,EN-Alto-1,Breathy,innocence,Breathy_Group,0007,18.40000000000002,,
EN-Alto-1_Breathy_innocence_Breathy_Group_0008,EN-Alto-1,Breathy,innocence,Breathy_Group,0008,29.03947368421055,,
EN-Alto-1_Breathy_innocence_Breathy_Group_0009,EN-Alto-1,Breathy,innocence,Breathy_Group,0009,26.06250000000004,,
EN-Alto-1_Breathy_innocence_Breathy_Group_0010,EN-Alto-1,Breathy,innocence,Breathy_Group,0010,50.38888888888885,,
EN-Alto-1_Breathy_innocence_Breathy_Group_0011,EN-Alto-1,Breathy,innocence,Breathy_Group,0011,55.74999999999993,,
EN-Alto-1_Breathy_innocence_Breathy_Group_0012,EN-Alto-1,Breathy,innocence,Breathy_Group,0012,138.95000000000005,,
EN-Alto-1_Breathy_innocence_Breathy_Group_0013,EN-Alto-1,Breathy,innocence,Breathy_Group,0013,53.45000000000003,,
EN-Alto-1_Breathy_innocence_Control_Group_0000,EN-Alto-1,Breathy,innocence,Control_Group,0000,13.872093023255804,,
EN-Alto-1_Breathy_innocence_Control_Group_0001,EN-Alto-1,Breathy,innocence,Control_Group,0001,16.342592592592617,,
EN-Alto-1_Breathy_innocence_Control_Group_0002,EN-Alto-1,Breathy,innocence,Control_Group,0002,28.589285714285733,,
EN-Alto-1_Breathy_innocence_Control_Group_0003,EN-Alto-1,Breathy,innocence,Control_Group,0003,175.50000000000003,,
EN-Alto-1_Breathy_innocence_Control_Group_0004,EN-Alto-1,Breathy,innocence,Control_Group,0004,31.704545454545507,,
EN-Alto-1_Breathy_innocence_Control_Group_0005,EN-Alto-1,Breathy,innocence,Control_Group,0005,138.66666666666663,,
EN-Alto-1_Breathy_innocence_Control_Group_0006,EN-Alto-1,Breathy,innocence,Control_Group,0006,53.54761904761897,,
EN-Alto-1_Breathy_innocence_Control_Group_0007,EN-Alto-1,Breathy,innocence,Control_Group,0007,12.217391304347839,,
EN-Alto-1_Breathy_innocence_Control_Group_0008,EN-Alto-1,Breathy,innocence,Control_Group,0008,25.209302325581316,,
EN-Alto-1_Breathy_innocence_Control_Group_0009,EN-Alto-1,Breathy,innocence,Control_Group,0009,13.357142857142842,,
EN-Alto-1_Breathy_innocence_Control_Group_0010,EN-Alto-1,Breathy,innocence,Control_Group,0010,21.107142857142907,,
EN-Alto-1_Breathy_innocence_Control_Group_0011,EN-Alto-1,Breathy,innocence,Control_Group,0011,33.91071428571431,,
EN-Alto-1_Breathy_innocence_Control_Group_0012,EN-Alto-1,Breathy,innocence,Control_Group,0012,96.8500000000001,,
EN-Alto-1_Breathy_innocence_Control_Group_0013,EN-Alto-1,Breathy,innocence,Control_Group,0013,57.673076923077026,,
EN-Alto-1_Breathy_innocence_Paired_Speech_Group_0000,EN-Alto-1,Breathy,innocence,Paired_Speech_Group,0000,15.397959183673462,,
EN-Alto-1_Breathy_innocence_Paired_Speech_Group_0001,EN-Alto-1,Breathy,innocence,Paired_Speech_Group,0001,10.964912280701723,,
EN-Alto-1_Breathy_innocence_Paired_Speech_Group_0002,EN-Alto-1,Breathy,innocence,Paired_Speech_Group,0002,8.167000000000009,,
EN-Alto-1_Breathy_innocence_Paired_Speech_Group_0003,EN-Alto-1,Breathy,innocence,Paired_Speech_Group,0003,18.145833333333382,,
EN-Alto-1_Breathy_innocence_Paired_Speech_Group_0004,EN-Alto-1,Breathy,innocence,Paired_Speech_Group,0004,16.316666666666663,,
EN-Alto-1_Breathy_innocence_Paired_Speech_Group_0005,EN-Alto-1,Breathy,innocence,Paired_Speech_Group,0005,12.0,,
EN-Alto-1_Breathy_innocence_Paired_Speech_Group_0006,EN-Alto-1,Breathy,innocence,Paired_Speech_Group,0006,12.224137931034463,,
EN-Alto-1_Breathy_innocence_Paired_Speech_Group_0007,EN-Alto-1,Breathy,innocence,Paired_Speech_Group,0007,12.846153846153848,,
EN-Alto-1_Breathy_innocence_Paired_Speech_Group_0008,EN-Alto-1,Breathy,innocence,Paired_Speech_Group,0008,14.156862745098017,,
EN-Alto-1_Breathy_innocence_Paired_Speech_Group_0009,EN-Alto-1,Breathy,innocence,Paired_Speech_Group,0009,13.860000000000072,,
EN-Alto-1_Breathy_innocence_Paired_Speech_Group_0010,EN-Alto-1,Breathy,innocence,Paired_Speech_Group,0010,9.999999999999998,,
EN-Alto-1_Breathy_innocence_Paired_Speech_Group_0011,EN-Alto-1,Breathy,innocence,Paired_Speech_Group,0011,13.095238095238058,,
EN-Alto-1_Breathy_innocence_Paired_Speech_Group_0012,EN-Alto-1,Breathy,innocence,Paired_Speech_Group,0012,12.8888888888889,,
EN-Alto-1_Breathy_innocence_Paired_Speech_Group_0013,EN-Alto-1,Breathy,innocence,Paired_Speech_Group,0013,11.299999999999985,,
EN-Alto-1_Breathy_let it go_Breathy_Group_0000,EN-Alto-1,Breathy,let it go,Breathy_Group,0000,39.57352941176475,,
EN-Alto-1_Breathy_let it go_Breathy_Group_0001,EN-Alto-1,Breathy,let it go,Breathy_Group,0001,38.728070175438674,,
EN-Alto-1_Breathy_let it go_Breathy_Group_0002,EN-Alto-1,Breathy,let it go,Breathy_Group,0002,29.916666666666693,,
EN-Alto-1_Breathy_let it go_Breathy_Group_0003,EN-Alto-1,Breathy,let it go,Breathy_Group,0003,27.243589743589702,,
EN-Alto-1_Breathy_let it go_Breathy_Group_0004,EN-Alto-1,Breathy,let it go,Breathy_Group,0004,27.999999999999964,,
EN-Alto-1_Breathy_let it go_Breathy_Group_0005,EN-Alto-1,Breathy,let it go,Breathy_Group,0005,23.000000000000004,,
EN-Alto-1_Breathy_let it go_Breathy_Group_0006,EN-Alto-1,Breathy,let it go,Breathy_Group,0006,73.57142857142854,,
EN-Alto-1_Breathy_let it go_Control_Group_0000,EN-Alto-1,Breathy,let it go,Control_Group,0000,36.73611111111104,,
EN-Alto-1_Breathy_let it go_Control_Group_0001,EN-Alto-1,Breathy,let it go,Control_Group,0001,29.29166666666665,,
EN-Alto-1_Breathy_let it go_Control_Group_0002,EN-Alto-1,Breathy,let it go,Control_Group,0002,32.272727272727295,,
EN-Alto-1_Breathy_let it go_Control_Group_0003,EN-Alto-1,Breathy,let it go,Control_Group,0003,27.628205128205153,,
EN-Alto-1_Breathy_let it go_Control_Group_0004,EN-Alto-1,Breathy,let it go,Control_Group,0004,145.90909090909088,,
EN-Alto-1_Breathy_let it go_Control_Group_0005,EN-Alto-1,Breathy,let it go,Control_Group,0005,25.145833333333332,,
EN-Alto-1_Breathy_let it go_Control_Group_0006,EN-Alto-1,Breathy,let it go,Control_Group,0006,67.95000000000002,,
EN-Alto-1_Breathy_let it go_Paired_Speech_Group_0000,EN-Alto-1,Breathy,let it go,Paired_Speech_Group,0000,17.627906976744203,,
EN-Alto-1_Breathy_let it go_Paired_Speech_Group_0001,EN-Alto-1,Breathy,let it go,Paired_Speech_Group,0001,21.28125000000005,,
EN-Alto-1_Breathy_let it go_Paired_Speech_Group_0002,EN-Alto-1,Breathy,let it go,Paired_Speech_Group,0002,30.88,,
EN-Alto-1_Breathy_let it go_Paired_Speech_Group_0003,EN-Alto-1,Breathy,let it go,Paired_Speech_Group,0003,12.931818181818228,,
EN-Alto-1_Breathy_let it go_Paired_Speech_Group_0004,EN-Alto-1,Breathy,let it go,Paired_Speech_Group,0004,16.25000000000002,,
EN-Alto-1_Breathy_let it go_Paired_Speech_Group_0005,EN-Alto-1,Breathy,let it go,Paired_Speech_Group,0005,18.538461538461558,,
EN-Alto-1_Breathy_let it go_Paired_Speech_Group_0006,EN-Alto-1,Breathy,let it go,Paired_Speech_Group,0006,14.642857142857114,,
EN-Alto-1_Breathy_safe and sound_Breathy_Group_0009,EN-Alto-1,Breathy,safe and sound,Breathy_Group,0009,149.27272727272722,,
EN-Alto-1_Breathy_safe and sound_Breathy_Group_0012,EN-Alto-1,Breathy,safe and sound,Breathy_Group,0012,53.333333333333336,,
EN-Alto-1_Breathy_safe and sound_Control_Group_0001,EN-Alto-1,Breathy,safe and sound,Control_Group,0001,61.2142857142858,,
EN-Alto-1_Breathy_safe and sound_Control_Group_0002,EN-Alto-1,Breathy,safe and sound,Control_Group,0002,43.583333333333314,,
EN-Alto-1_Breathy_safe and sound_Control_Group_0007,EN-Alto-1,Breathy,safe and sound,Control_Group,0007,28.696078431372477,,
EN-Alto-1_Breathy_safe and sound_Control_Group_0008,EN-Alto-1,Breathy,safe and sound,Control_Group,0008,197.75,,
EN-Alto-1_Breathy_safe and sound_Control_Group_0010,EN-Alto-1,Breathy,safe and sound,Control_Group,0010,63.32142857142849,,
EN-Alto-1_Breathy_safe and sound_Control_Group_0011,EN-Alto-1,Breathy,safe and sound,Control_Group,0011,51.77777777777774,,
EN-Alto-1_Breathy_safe and sound_Control_Group_0012,EN-Alto-1,Breathy,safe and sound,Control_Group,0012,69.30555555555556,,
EN-Alto-1_Breathy_safe and sound_Control_Group_0013,EN-Alto-1,Breathy,safe and sound,Control_Group,0013,62.17647058823532,,
EN-Alto-1_Breathy_safe and sound_Paired_Speech_Group_0002,EN-Alto-1,Breathy,safe and sound,Paired_Speech_Group,0002,20.604166666666654,,
EN-Alto-1_Breathy_safe and sound_Paired_Speech_Group_0004,EN-Alto-1,Breathy,safe and sound,Paired_Speech_Group,0004,12.187500000000007,,
EN-Alto-1_Breathy_sleepyhead_Breathy_Group_0000,EN-Alto-1,Breathy,sleepyhead,Breathy_Group,0000,62.913793103448235,,
EN-Alto-1_Breathy_sleepyhead_Breathy_Group_0001,EN-Alto-1,Breathy,sleepyhead,Breathy_Group,0001,24.08974358974352,,
EN-Alto-1_Breathy_sleepyhead_Breathy_Group_0003,EN-Alto-1,Breathy,sleepyhead,Breathy_Group,0003,42.94117647058823,,
EN-Alto-1_Breathy_sleepyhead_Breathy_Group_0004,EN-Alto-1,Breathy,sleepyhead,Breathy_Group,0004,27.249999999999982,,
EN-Alto-1_Breathy_sleepyhead_Breathy_Group_0005,EN-Alto-1,Breathy,sleepyhead,Breathy_Group,0005,35.17105263157898,,
EN-Alto-1_Breathy_sleepyhead_Breathy_Group_0006,EN-Alto-1,Breathy,sleepyhead,Breathy_Group,0006,45.631578947368375,,
EN-Alto-1_Breathy_sleepyhead_Breathy_Group_0007,EN-Alto-1,Breathy,sleepyhead,Breathy_Group,0007,24.535714285714317,,
EN-Alto-1_Breathy_sleepyhead_Breathy_Group_0008,EN-Alto-1,Breathy,sleepyhead,Breathy_Group,0008,17.4324324324324,,
EN-Alto-1_Breathy_sleepyhead_Breathy_Group_0009,EN-Alto-1,Breathy,sleepyhead,Breathy_Group,0009,29.520833333333258,,
EN-Alto-1_Breathy_sleepyhead_Breathy_Group_0010,EN-Alto-1,Breathy,sleepyhead,Breathy_Group,0010,27.371428571428453,,
EN-Alto-1_Breathy_sleepyhead_Breathy_Group_0011,EN-Alto-1,Breathy,sleepyhead,Breathy_Group,0011,51.85416666666672,,
EN-Alto-1_Breathy_sleepyhead_Control_Group_0000,EN-Alto-1,Breathy,sleepyhead,Control_Group,0000,56.9423076923079,,
EN-Alto-1_Breathy_sleepyhead_Control_Group_0001,EN-Alto-1,Breathy,sleepyhead,Control_Group,0001,17.21052631578951,,
EN-Alto-1_Breathy_sleepyhead_Control_Group_0002,EN-Alto-1,Breathy,sleepyhead,Control_Group,0002,44.15217391304355,,
EN-Alto-1_Breathy_sleepyhead_Control_Group_0003,EN-Alto-1,Breathy,sleepyhead,Control_Group,0003,49.31578947368418,,
EN-Alto-1_Breathy_sleepyhead_Control_Group_0004,EN-Alto-1,Breathy,sleepyhead,Control_Group,0004,32.500000000000036,,
EN-Alto-1_Breathy_sleepyhead_Control_Group_0005,EN-Alto-1,Breathy,sleepyhead,Control_Group,0005,28.514285714285734,,
EN-Alto-1_Breathy_sleepyhead_Control_Group_0006,EN-Alto-1,Breathy,sleepyhead,Control_Group,0006,36.11904761904769,,
EN-Alto-1_Breathy_sleepyhead_Control_Group_0007,EN-Alto-1,Breathy,sleepyhead,Control_Group,0007,25.433333333333405,,
EN-Alto-1_Breathy_sleepyhead_Control_Group_0008,EN-Alto-1,Breathy,sleepyhead,Control_Group,0008,15.657894736842135,,
EN-Alto-1_Breathy_sleepyhead_Control_Group_0009,EN-Alto-1,Breathy,sleepyhead,Control_Group,0009,30.326923076923137,,
EN-Alto-1_Breathy_sleepyhead_Control_Group_0010,EN-Alto-1,Breathy,sleepyhead,Control_Group,0010,25.94117647058823,,
EN-Alto-1_Breathy_sleepyhead_Control_Group_0011,EN-Alto-1,Breathy,sleepyhead,Control_Group,0011,56.456521739130395,,
EN-Alto-1_Breathy_sleepyhead_Paired_Speech_Group_0000,EN-Alto-1,Breathy,sleepyhead,Paired_Speech_Group,0000,51.69999999999998,,
EN-Alto-1_Breathy_sleepyhead_Paired_Speech_Group_0001,EN-Alto-1,Breathy,sleepyhead,Paired_Speech_Group,0001,13.59999999999997,,
EN-Alto-1_Breathy_sleepyhead_Paired_Speech_Group_0002,EN-Alto-1,Breathy,sleepyhead,Paired_Speech_Group,0002,12.393939393939382,,
EN-Alto-1_Breathy_sleepyhead_Paired_Speech_Group_0004,EN-Alto-1,Breathy,sleepyhead,Paired_Speech_Group,0004,14.844827586206904,,
EN-Alto-1_Breathy_sleepyhead_Paired_Speech_Group_0006,EN-Alto-1,Breathy,sleepyhead,Paired_Speech_Group,0006,20.677083333333325,,
EN-Alto-1_Breathy_sleepyhead_Paired_Speech_Group_0009,EN-Alto-1,Breathy,sleepyhead,Paired_Speech_Group,0009,13.370370370370354,,
EN-Alto-1_Breathy_sleepyhead_Paired_Speech_Group_0010,EN-Alto-1,Breathy,sleepyhead,Paired_Speech_Group,0010,19.78749999999998,,
EN-Alto-1_Breathy_sleepyhead_Paired_Speech_Group_0011,EN-Alto-1,Breathy,sleepyhead,Paired_Speech_Group,0011,17.77777777777778,,
EN-Alto-1_Breathy_someday or oneday_Breathy_Group_0000,EN-Alto-1,Breathy,someday or oneday,Breathy_Group,0000,36.78571428571429,,
EN-Alto-1_Breathy_someday or oneday_Breathy_Group_0001,EN-Alto-1,Breathy,someday or oneday,Breathy_Group,0001,51.91304347826082,,
EN-Alto-1_Breathy_someday or oneday_Breathy_Group_0003,EN-Alto-1,Breathy,someday or oneday,Breathy_Group,0003,64.86363636363639,,
EN-Alto-1_Breathy_someday or oneday_Control_Group_0000,EN-Alto-1,Breathy,someday or oneday,Control_Group,0000,25.483333333333317,,
EN-Alto-1_Breathy_someday or oneday_Control_Group_0004,EN-Alto-1,Breathy,someday or oneday,Control_Group,0004,31.82352941176473,,
EN-Alto-1_Breathy_someday or oneday_Paired_Speech_Group_0003,EN-Alto-1,Breathy,someday or oneday,Paired_Speech_Group,0003,20.673076923076962,,
EN-Alto-1_Breathy_treasure_Paired_Speech_Group_0000,EN-Alto-1,Breathy,treasure,Paired_Speech_Group,0000,15.179487179487191,,
EN-Alto-1_Breathy_who says_Breathy_Group_0000,EN-Alto-1,Breathy,who says,Breathy_Group,0000,,25.432727272727252,
EN-Alto-1_Breathy_who says_Breathy_Group_0001,EN-Alto-1,Breathy,who says,Breathy_Group,0001,,30.460784313725558,
EN-Alto-1_Breathy_who says_Breathy_Group_0002,EN-Alto-1,Breathy,who says,Breathy_Group,0002,,16.96606382978728,
EN-Alto-1_Breathy_who says_Breathy_Group_0003,EN-Alto-1,Breathy,who says,Breathy_Group,0003,,38.476506849315015,
EN-Alto-1_Breathy_who says_Breathy_Group_0004,EN-Alto-1,Breathy,who says,Breathy_Group,0004,,32.50074999999993,
EN-Alto-1_Breathy_who says_Breathy_Group_0005,EN-Alto-1,Breathy,who says,Breathy_Group,0005,,44.83413793103448,
EN-Alto-1_Breathy_who says_Breathy_Group_0006,EN-Alto-1,Breathy,who says,Breathy_Group,0006,,37.555810810810776,
EN-Alto-1_Breathy_who says_Breathy_Group_0007,EN-Alto-1,Breathy,who says,Breathy_Group,0007,,61.749259259259325,
EN-Alto-1_Breathy_who says_Breathy_Group_0008,EN-Alto-1,Breathy,who says,Breathy_Group,0008,,24.823965517241458,
EN-Alto-1_Breathy_who says_Breathy_Group_0009,EN-Alto-1,Breathy,who says,Breathy_Group,0009,,25.325888888888876,
EN-Alto-1_Breathy_who says_Breathy_Group_0010,EN-Alto-1,Breathy,who says,Breathy_Group,0010,,35.99378787878792,
EN-Alto-1_Breathy_who says_Breathy_Group_0011,EN-Alto-1,Breathy,who says,Breathy_Group,0011,,49.82649999999997,
EN-Alto-1_Breathy_who says_Breathy_Group_0012,EN-Alto-1,Breathy,who says,Breathy_Group,0012,,33.623142857142845,
EN-Alto-1_Breathy_who says_Breathy_Group_0013,EN-Alto-1,Breathy,who says,Breathy_Group,0013,,27.023666666666646,
EN-Alto-1_Breathy_who says_Breathy_Group_0014,EN-Alto-1,Breathy,who says,Breathy_Group,0014,,27.94135135135132,
EN-Alto-1_Breathy_who says_Breathy_Group_0015,EN-Alto-1,Breathy,who says,Breathy_Group,0015,,52.9419642857143,
EN-Alto-1_Breathy_who says_Breathy_Group_0016,EN-Alto-1,Breathy,who says,Breathy_Group,0016,,28.842413793103532,
EN-Alto-1_Breathy_who says_Breathy_Group_0017,EN-Alto-1,Breathy,who says,Breathy_Group,0017,,30.617631578947446,
EN-Alto-1_Breathy_who says_Control_Group_0000,EN-Alto-1,Breathy,who says,Control_Group,0000,22.708333333333254,,
EN-Alto-1_Breathy_who says_Control_Group_0005,EN-Alto-1,Breathy,who says,Control_Group,0005,,35.99645161290319,
EN-Alto-1_Breathy_who says_Control_Group_0006,EN-Alto-1,Breathy,who says,Control_Group,0006,75.03703703703704,47.732499999999995,27.304537037037043
EN-Alto-1_Breathy_who says_Control_Group_0007,EN-Alto-1,Breathy,who says,Control_Group,0007,,67.77822580645159,
EN-Alto-1_Breathy_who says_Control_Group_0013,EN-Alto-1,Breathy,who says,Control_Group,0013,,30.849821428571506,
EN-Alto-1_Breathy_who says_Control_Group_0014,EN-Alto-1,Breathy,who says,Control_Group,0014,,30.787439024390263,
EN-Alto-1_Breathy_who says_Control_Group_0016,EN-Alto-1,Breathy,who says,Control_Group,0016,,21.285564516129014,
EN-Alto-1_Breathy_who says_Control_Group_0017,EN-Alto-1,Breathy,who says,Control_Group,0017,,21.361637931034473,
EN-Alto-1_Breathy_who says_Paired_Speech_Group_0005,EN-Alto-1,Breathy,who says,Paired_Speech_Group,0005,,27.809558823529397,
EN-Alto-1_Breathy_who says_Paired_Speech_Group_0006,EN-Alto-1,Breathy,who says,Paired_Speech_Group,0006,,23.41609756097563,
EN-Alto-1_Breathy_who says_Paired_Speech_Group_0007,EN-Alto-1,Breathy,who says,Paired_Speech_Group,0007,,34.99983333333335,
EN-Alto-1_Breathy_who says_Paired_Speech_Group_0008,EN-Alto-1,Breathy,who says,Paired_Speech_Group,0008,11.281249999999972,,
EN-Alto-1_Breathy_who says_Paired_Speech_Group_0014,EN-Alto-1,Breathy,who says,Paired_Speech_Group,0014,14.681818181818151,,
EN-Alto-1_Breathy_who says_Paired_Speech_Group_0016,EN-Alto-1,Breathy,who says,Paired_Speech_Group,0016,14.68382352941167,29.572181818181782,-14.888358288770112
EN-Alto-1_Breathy_who says_Paired_Speech_Group_0017,EN-Alto-1,Breathy,who says,Paired_Speech_Group,0017,,23.566693548387065,
EN-Alto-1_Glissando_for the first time in forever_Paired_Speech_Group_0002,EN-Alto-1,Glissando,for the first time in forever,Paired_Speech_Group,0002,16.809523809523796,,
EN-Alto-1_Glissando_tell me that you love me_Glissando_Group_0002,EN-Alto-1,Glissando,tell me that you love me,Glissando_Group,0002,13.684210526315823,,
EN-Alto-1_Glissando_tell me that you love me_Glissando_Group_0008,EN-Alto-1,Glissando,tell me that you love me,Glissando_Group,0008,39.59375000000004,,
EN-Alto-1_Glissando_tell me that you love me_Paired_Speech_Group_0008,EN-Alto-1,Glissando,tell me that you love me,Paired_Speech_Group,0008,14.268292682926873,,
EN-Alto-1_Glissando_tell me that you love me_Paired_Speech_Group_0013,EN-Alto-1,Glissando,tell me that you love me,Paired_Speech_Group,0013,22.42105263157893,,
EN-Alto-1_Glissando_tell me that you love me_Paired_Speech_Group_0015,EN-Alto-1,Glissando,tell me that you love me,Paired_Speech_Group,0015,16.132812500000046,,
EN-Alto-1_Glissando_trouble is a friend_Control_Group_0000,EN-Alto-1,Glissando,trouble is a friend,Control_Group,0000,,93.0688888888891,
EN-Alto-1_Glissando_trouble is a friend_Control_Group_0001,EN-Alto-1,Glissando,trouble is a friend,Control_Group,0001,,67.24768292682921,
EN-Alto-1_Glissando_trouble is a friend_Control_Group_0002,EN-Alto-1,Glissando,trouble is a friend,Control_Group,0002,,129.7235714285714,
EN-Alto-1_Glissando_trouble is a friend_Control_Group_0003,EN-Alto-1,Glissando,trouble is a friend,Control_Group,0003,,54.2200000000001,
